word	pos	approved	alternatives
satisfactory	adj	y
saturate	v	n	soak
save	v	n	keep
scan	v	n	examine
schedule	v	y
scored	adj	n	score
scrap	v	n	discard
scrape	v	n	remove
scratched	adj	n	scratch
screw	v	n	turn;attach
scrub	v	n	clean
seal	n	y
seal	v	y
search	v	n	examine
seat	v	n	install;against
secondary	adj	y
secure	adj	n	tight;safe;correctly
secure	v	n	attach;safety
securely	adv	n	correctly;safely;tight
security	n	n	correctly
see	v	y
seek	v	n	get
seepage	n	n	leakage
seized	adj	n	catch;move;turn
select	v	y
selection	n	y
semicircular	adj	y
send	v	y
sense	v	y
sensitive	adj	y
separable	adj	n	disassemble;disconnect
separate	adj	n	isolated;different;not connected;not attached
separate	v	n	disconnect;divide
separately	adv	n	independently
separation	n	y
sequence	n	y
serious	adj	n	important;dangerous
serrated	adj	n	serration
serration	n	y
serve	v	n	(use an accurate verb)
service	v	n	servicing
serviceability	n	n	serviceable
serviceable	adj	y
servicing	n	y
set	n	y
set	v	y
setting	n	n	adjustment;position;set
settle	v	n	collect;stable
sever	v	n	cut
several	adj	n	some
severe	adj	n	dangerous
shake	v	y
shall	v	n	must
shape	n	y
shape	v	n	shape
sharp	adj	y
sharply	adv	n	quickly;suddenly
shear	v	n	break;cut
sheet	n	y
shield	v	n	prevent;protection
shift	v	n	move
shiny	adj	y
shock	n	y
short	adj	y
shorten	v	n	decrease
should	v	n	must;if
show	v	y
shut down	v	n	stop
side	n	y
sideways	adv	n	side
sight	n	n	view
sight	v	n	look
sign	n	y
significant	adj	n	important
silence	v	n	stop
similar	adj	n	equivalent;almost the same
simulate	v	y
simultaneous	adj	n	at the same time
simultaneously	adv	n	at the same time
since	conj	y
situated	adj	n	install;be
situation	n	n	condition
size	n	n	dimension
skid	v	n	skid
slack	adj	n	tension
slack	n	n	tension
slacken	v	n	tension
slackness	n	n	tension
slave	v	n	control
slide	v	n	move
slight	adj	n	small;light
slightly	adv	n	small
slip	v	n	move;remove;cause to fall;move accidentally
slope	n	y
slot	n	y
slow	adj	y
slow down	v	n	decrease
slowly	adv	y
sluggish	adj	n	slow
small	adj	y
smear	v	n	apply
smell	v	y
smoke	n	y
smoke	v	y
smooth	adj	y
smooth	v	n	smooth
smoothly	adv	y
snag	v	n	catch
snap	n	n	click
snap	v	n	move quickly;break
so (that)	conj	n	until;prevent
soak	v	y
soapy	adj	n	soap
soft	adj	y
soften	v	n	make...soft
soiled	adj	n	dirty
solid	adj	y
solid	n	y
solidify	v	n	solid
solution	n	y
solve	v	n	solution
some	adj	y
some	pron	y
something	pron	y
soon	adv	n	(give a specific time if possible)
sound	n	y
sound	v	n	operate
source	n	y
space	n	y
space	v	n	distance
spacing	n	n	distance
spanwise	adj	n	span
sparingly	adv	n	quantity
spark	n	y
spark	v	n	spark
speak	v	y
special	adj	y
wait	v	y
walk	v	y
want	v	y
warm	adj	y
warm	v	n	warm
warn	v	n	tell;warning
wash	v	n	clean
watch	v	n	monitor;look
watertight	adj	n	seal
way	n	n	procedure
we	pron	y
weak	adj	y
weakness	n	n	weak
wear	v	y
weather	n	y
weep	n	n	leakage
weigh	v	y
weight	n	y
well	adv	n	correctly;good;fully
wet	adj	y
when	conj	y
whenever	conj	n	when
where	conj	y
whether	conj	n	if
which	pron	y
whichever	adj	n	that
whichever	pron	n	that
while	conj	y
whilst	conj	n	while
who	pron	y
whoever	pron	n	who
whole	adj	n	full;all
